ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
24876	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	5155	5246	4849	4952	5379	6296
24877	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	4948	4045	4221	5168	5326
24878	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4045	4221	5575	5745
24879	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	6274	6308	5967	6102	7075	7189
24880	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	5967	6105	7598	7712
24881	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	16555	16616	12096	12229	16717	16784
24882	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12679	12813	12091	12511	14417	14617
24883	"ENSDARG00000109774"	NA	chrKZ116043.1	+	3729	3852	2645	2849	4109	8584
24884	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12461	7695	12146	12649	12759
24885	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17550	15386	16064	17693	17901
24886	"ENSDARG00000102116"	"CABZ01072487.2"	chrKN150032.1	+	20709	20982	20269	20318	21116	21416
24887	"ENSDARG00000100052"	"cckb"	chrKN150698.1	+	4003	4051	2792	3018	8018	8412
24888	"ENSDARG00000100769"	"CABZ01085201.1"	chrKN150062.1	+	26923	27052	22170	22245	27552	27607
24889	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	17590	18648	31484	31526
24890	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	17590	18648	31620	31641
24891	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29058	17590	18648	31620	31641
24892	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29178	17590	18648	31620	31641
24893	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29150	29178	28932	29058	31620	31641
24894	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	17590	18648	31620	31641
24895	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31526	28932	29058	31620	31641
24896	"ENSDARG00000110192"	"CABZ01081535.1"	chrKN149800.1	-	16411	16563	2018	2981	18036	18143
24897	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21770	20488	21274	28357	28501
24898	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21840	20488	21274	28357	28501
24899	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28947	29071	28357	28501	31494	31870
24900	"ENSDARG00000100562"	"CABZ01080702.1"	chrKN149710.1	+	24138	24192	22213	22436	26008	29401
24901	"ENSDARG00000100480"	"si:ch73-364h19.2"	chrKN149884.1	-	19171	19571	16627	16726	20545	20628
24902	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	4796	3050	3245	5041	5091
24903	"ENSDARG00000104343"	"ppic"	chrKN150596.1	+	20938	21029	19939	20053	22195	22380
24904	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	5108	5348	12718	12826
24905	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	5108	5348	13226	13340
24906	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	5108	5348	12718	12826
24907	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	5108	5348	13226	13340
24908	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	12718	12826	5738	5846	13226	13340
24909	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34476	17942	18116	38371	38545
24910	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34655	17942	18116	38371	38545
24911	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	37733	37792	17942	18116	38371	38545
24912	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40641	40658	40222	40396	49028	49075
24913	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40641	40690	40222	40396	49028	49075
24914	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40641	40744	40222	40396	49028	49075
24915	"ENSDARG00000098599"	NA	chrKN150041.2	+	54524	54556	52170	52247	55839	55961
24916	"ENSDARG00000100753"	"CABZ01076275.1"	chrKN150405.1	-	46738	46908	42688	42836	51539	51700
24917	"ENSDARG00000117822"	"CABZ01085061.1"	chrKN150670.1	-	45358	45379	42439	42640	48025	48103
24918	"ENSDARG00000098523"	NA	chrKN150432.1	-	63609	63753	60022	60156	72273	72480
24919	"ENSDARG00000101020"	NA	chrKN149702.1	-	22613	22701	22078	22287	26990	27113
24920	"ENSDARG00000104276"	NA	chrKN150326.1	-	96088	96203	91206	91364	102054	102197
24921	"ENSDARG00000034598"	"dicp1.16"	chrKN149948.1	-	14304	14391	13985	14014	14927	14996
24922	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	27006	27092	26717	26821	28766	31563
24923	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	27006	27150	26717	26821	28766	31563
24924	"ENSDARG00000104550"	"clcn2b"	chrKN150171.1	-	85409	85448	80574	80706	90552	90706
24925	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	71012	71109	67226	67280	72831	72885
24926	"ENSDARG00000112651"	"CU182823.2"	chrKN147637.2	-	117606	117780	117124	117298	118542	118708
24927	"ENSDARG00000099318"	"CABZ01062422.1"	chrKN149688.2	+	243864	244038	237646	239711	246988	247162
24928	"ENSDARG00000099318"	"CABZ01062422.1"	chrKN149688.2	+	246988	247162	243864	244038	249452	250385
24929	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	27388	27562	18026	20081	28320	28494
24930	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	28320	28494	27388	27562	42185	42359
24931	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	34906	35080	28320	28494	42185	42359
24932	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	283108	283211	282820	282915	284063	285995
24933	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	287490	287940	286134	286305	288572	288746
24934	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	288572	288746	287490	287940	292064	292238
24935	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	292114	292238	288572	288746	294469	300323
24936	"ENSDARG00000112862"	"CU182107.2"	chrKN149696.2	-	292865	292979	287890	290252	293983	294138
24937	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37473282	37473474	37471649	37471911	37474126	37474238
24938	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37473285	37473474	37471649	37471911	37474126	37474238
24939	"ENSDARG00000110991"	NA	chr25	-	37461595	37461688	37460725	37461492	37462084	37462202
24940	"ENSDARG00000110991"	NA	chr25	-	37462084	37462199	37461595	37461695	37462533	37462609
24941	"ENSDARG00000110991"	NA	chr25	-	37463944	37464015	37463449	37463761	37464134	37464408
24942	"ENSDARG00000061421"	NA	chr25	-	24926889	24926973	24904819	24904914	25058100	25058508
24943	"ENSDARG00000061421"	NA	chr25	-	24948936	24949033	24904819	24904914	25058100	25058508
24944	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3660253	3660271	3659396	3659534	3662242	3662352
24945	"ENSDARG00000015502"	"adam10b"	chr25	+	157370	157455	156965	157163	157831	158015
24946	"ENSDARG00000015502"	"adam10b"	chr25	+	157380	157455	156965	157163	157831	158015
24947	"ENSDARG00000015502"	"adam10b"	chr25	+	158328	158348	157831	158015	158627	158791
24948	"ENSDARG00000078139"	"appl2"	chr25	-	5813965	5814077	5811677	5811737	5815743	5815834
24949	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128710	127658	127855	128857	128980
24950	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128716	127658	127855	128857	128980
24951	"ENSDARG00000100918"	"prc1a"	chr25	+	7456974	7457006	7456710	7456869	7458590	7461466
24952	"ENSDARG00000100918"	"prc1a"	chr25	+	7456980	7457006	7456710	7456869	7458590	7461466
24953	"ENSDARG00000100151"	"appl2"	chr25	+	5772156	5772281	5771857	5771996	5774918	5774999
