FIELD	srpk3_hom_ttnb_het_1	srpk3_hom_ttnb_het_10	srpk3_hom_ttnb_het_2	srpk3_hom_ttnb_het_7	srpk3_hom_ttnb_het_8	srpk3_hom_ttnb_het_9	srpk3_hom_ttnb_wt_1	srpk3_hom_ttnb_wt_4	srpk3_hom_ttnb_wt_5	srpk3_hom_ttnb_wt_6	srpk3_hom_ttnb_wt_7	srpk3_hom_ttnb_wt_8	srpk3_wt_ttnb_het_1	srpk3_wt_ttnb_het_2	srpk3_wt_ttnb_het_3	srpk3_wt_ttnb_het_7	srpk3_wt_ttnb_het_8	srpk3_wt_ttnb_het_9	srpk3_wt_ttnb_wt_2	srpk3_wt_ttnb_wt_3	srpk3_wt_ttnb_wt_4	srpk3_wt_ttnb_wt_5	srpk3_wt_ttnb_wt_6	srpk3_wt_ttnb_wt_7
Stranded_Rule_Code	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
READ_PAIR_OK	14508471	17127652	21113845	16866338	12931506	18139858	16871723	15326245	12888013	22704047	17328366	13055489	15654074	14219947	11506184	21775292	17171086	22259082	13808739	16790700	23680444	15626470	23715445	22057761
TOTAL_READ_PAIRS	15178505	17935517	22090111	17736839	13559839	18964515	17661388	16064648	13497087	23754138	18155213	13664250	16363269	14899105	12035690	22800022	17970212	23263416	14449084	17540690	24860088	16351171	24815229	23086884
DROPPED_NOT_PROPER_PAIR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_PAIR_STRANDS_MISMATCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	670034	807865	976266	870501	628333	824657	789665	738403	609074	1050091	826847	608761	709195	679158	529506	1024730	799126	1004334	640345	749990	1179644	724701	1099784	1029123
DROPPED_NO_ALN_BLOCKS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_MARKED_RG	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
