ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSDARG00000105296"	NA	chr25	-	5718931	5719062	5718943	5719062	5713687	5713802
19	"ENSDARG00000013719"	"gtse1"	chr25	-	19607960	19608460	19608282	19608460	19607634	19607692
20	"ENSDARG00000061802"	"cnot2"	chr25	+	28698692	28698849	28698692	28698847	28698935	28698997
65	"ENSDARG00000021082"	"sec31a"	chr10	-	5101525	5101852	5101570	5101852	5098341	5098400
70	"ENSDARG00000099931"	"pcdh1g26"	chr10	+	21816336	21816484	21816336	21816455	21818350	21818459
77	"ENSDARG00000044255"	"rbm18"	chr10	+	9361858	9361945	9361858	9361939	9369398	9369744
94	"ENSDARG00000006242"	"ptp4a1"	chr11	+	11271470	11272063	11271470	11271676	11272220	11272313
105	"ENSDARG00000003877"	"pbrm1"	chr11	-	3917634	3917769	3917703	3917769	3913194	3913244
115	"ENSDARG00000044669"	"hp1bp3"	chr11	+	37616561	37616618	37616561	37616603	37616709	37616855
118	"ENSDARG00000100115"	"dnah1"	chr11	-	34699954	34700134	34699960	34700134	34697980	34698121
119	"ENSDARG00000100764"	"zfyve9b"	chr11	+	13071472	13071936	13071472	13071628	13073937	13074020
120	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046648	13046721	13046648	13046677	13046793	13046860
121	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046648	13046721	13046648	13046677	13046796	13046860
131	"ENSDARG00000056922"	"ltbp1"	chr17	+	23094997	23095090	23094997	23095057	23099323	23099455
141	"ENSDARG00000101744"	"elavl1b"	chr11	-	15000936	15001002	15000946	15001002	14989373	14989554
143	"ENSDARG00000011594"	"smarcb1b"	chr21	+	15603507	15603865	15603507	15603619	15605094	15605232
144	"ENSDARG00000058088"	"aifm1"	chr5	-	22564514	22564580	22564520	22564580	22562027	22562188
155	"ENSDARG00000013312"	"cadps2"	chr25	+	28244193	28244341	28244193	28244333	28251867	28251882
156	"ENSDARG00000013312"	"cadps2"	chr25	+	28244193	28244341	28244193	28244333	28253553	28253625
163	"ENSDARG00000020741"	"fga"	chr1	-	10067187	10068046	10067715	10068046	10064511	10064621
164	"ENSDARG00000020741"	"fga"	chr1	-	10067187	10068046	10067715	10068046	10066099	10066967
172	"ENSDARG00000052063"	"col4a5"	chr7	+	51148134	51148165	51148134	51148161	51148258	51148339
173	"ENSDARG00000027078"	"cnppd1"	chr1	+	6166424	6166714	6166424	6166553	6167375	6167493
179	"ENSDARG00000099635"	"akap8l"	chr1	-	59226265	59226374	59226280	59226374	59225374	59225505
193	"ENSDARG00000078535"	"lrrcc1"	chr2	-	31710607	31711547	31711262	31711547	31710309	31710515
212	"ENSDARG00000003313"	"eps8l1b"	chr24	+	38670819	38671106	38670819	38670881	38673805	38673912
215	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16814699	16814799	16814699	16814790	16817271	16817382
216	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16814699	16814799	16814699	16814790	16818889	16819041
218	"ENSDARG00000039850"	"dusp22b"	chr2	-	897283	897371	897288	897371	886859	886934
233	"ENSDARG00000053101"	"prpf38b"	chr2	-	45660002	45660077	45660016	45660077	45659374	45659439
235	"ENSDARG00000040310"	"prpf4bb"	chr24	-	11483522	11483674	11483526	11483674	11478430	11478568
240	"ENSDARG00000019213"	NA	chr14	+	21145749	21146159	21145749	21145840	21167570	21167725
248	"ENSDARG00000032725"	"rps27a"	chr6	+	6271984	6272230	6271984	6272039	6273051	6273183
249	"ENSDARG00000071395"	"camk2g1"	chr12	-	35361862	35361917	35361871	35361917	35351341	35351417
250	"ENSDARG00000071395"	"camk2g1"	chr12	-	35361862	35361917	35361871	35361917	35354759	35354897
266	"ENSDARG00000094865"	"CR407561.1"	chr8	-	33673530	33673572	33673534	33673572	33657090	33657312
267	"ENSDARG00000044524"	"def6b"	chr22	+	983161	983694	983161	983395	985171	985280
269	"ENSDARG00000018782"	"kdm4aa"	chr6	+	3296732	3296817	3296732	3296811	3298781	3298963
272	"ENSDARG00000090560"	"mfap5"	chr16	-	12682409	12682640	12682556	12682640	12677970	12678009
274	"ENSDARG00000097173"	"CR388129.1"	chr15	-	40128816	40129076	40128844	40129076	40125408	40125608
278	"ENSDARG00000058345"	"si:dkey-5i3.5"	chr18	+	8907095	8907327	8907095	8907193	8907442	8907574
281	"ENSDARG00000095294"	"si:dkey-200l5.4"	chr10	-	17740757	17740926	17740899	17740926	17740489	17740516
