ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60853	60974	58292	58376
2	"ENSDARG00000105296"	NA	chr25	-	5718931	5719062	5718943	5719062	5713687	5713802
16	"ENSDARG00000004785"	"cops2"	chr25	-	32377845	32377977	32377851	32377977	32374937	32375015
57	"ENSDARG00000058005"	"hgd"	chr24	+	23960893	23961141	23960893	23960965	23961575	23961741
66	"ENSDARG00000021082"	"sec31a"	chr10	-	5101525	5101852	5101570	5101852	5098341	5098400
71	"ENSDARG00000099931"	"pcdh1g26"	chr10	+	21816336	21816484	21816336	21816455	21818350	21818459
78	"ENSDARG00000044255"	"rbm18"	chr10	+	9361858	9361945	9361858	9361939	9369398	9369744
89	"ENSDARG00000087779"	"pum3"	chr10	-	15325283	15325375	15325287	15325375	15325006	15325097
93	"ENSDARG00000089139"	"im:7145024"	chr25	+	9033775	9033849	9033775	9033830	9037266	9037304
97	"ENSDARG00000006242"	"ptp4a1"	chr11	+	11271470	11272063	11271470	11271676	11272220	11272313
100	"ENSDARG00000099106"	"afmid"	chr11	-	45147817	45148235	45148130	45148235	45147257	45147343
108	"ENSDARG00000028552"	"plppr3b"	chr11	+	14149885	14150510	14149885	14149981	14151061	14151247
110	"ENSDARG00000003877"	"pbrm1"	chr11	-	3917634	3917769	3917703	3917769	3913194	3913244
117	"ENSDARG00000025902"	"plekhg5a"	chr11	-	24501308	24501505	24501341	24501505	24483740	24483902
121	"ENSDARG00000044669"	"hp1bp3"	chr11	+	37616561	37616618	37616561	37616603	37616709	37616855
124	"ENSDARG00000100115"	"dnah1"	chr11	-	34699954	34700134	34699960	34700134	34697980	34698121
125	"ENSDARG00000100764"	"zfyve9b"	chr11	+	13071472	13071936	13071472	13071628	13073937	13074020
126	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046648	13046721	13046648	13046677	13046793	13046860
127	"ENSDARG00000089681"	"btf3l4"	chr11	+	13046648	13046721	13046648	13046677	13046796	13046860
133	"ENSDARG00000018944"	"hoga1"	chr22	+	34723352	34723490	34723352	34723486	34732732	34732882
138	"ENSDARG00000056922"	"ltbp1"	chr17	+	23094997	23095090	23094997	23095057	23099323	23099455
148	"ENSDARG00000101744"	"elavl1b"	chr11	-	15000936	15001002	15000946	15001002	14989373	14989554
150	"ENSDARG00000011594"	"smarcb1b"	chr21	+	15603507	15603865	15603507	15603619	15605094	15605232
151	"ENSDARG00000058088"	"aifm1"	chr5	-	22564514	22564580	22564520	22564580	22562027	22562188
157	"ENSDARG00000078142"	NA	chr12	-	903338	903500	903345	903500	902910	903040
163	"ENSDARG00000013312"	"cadps2"	chr25	+	28244193	28244341	28244193	28244333	28251867	28251882
164	"ENSDARG00000013312"	"cadps2"	chr25	+	28244193	28244341	28244193	28244333	28253553	28253625
166	"ENSDARG00000102153"	"nrp1a"	chr24	-	1176991	1177102	1177012	1177102	1169193	1169337
172	"ENSDARG00000020741"	"fga"	chr1	-	10067187	10068046	10067715	10068046	10064511	10064621
173	"ENSDARG00000020741"	"fga"	chr1	-	10067187	10068046	10067715	10068046	10066099	10066967
181	"ENSDARG00000052063"	"col4a5"	chr7	+	51148134	51148165	51148134	51148161	51148258	51148339
182	"ENSDARG00000013802"	"pcid2"	chr1	-	155881	156249	156159	156249	154900	154966
183	"ENSDARG00000027078"	"cnppd1"	chr1	+	6166424	6166714	6166424	6166553	6167375	6167493
189	"ENSDARG00000099635"	"akap8l"	chr1	-	59226265	59226374	59226280	59226374	59225374	59225505
198	"ENSDARG00000087893"	"rnf216"	chr3	-	40658514	40658892	40658753	40658892	40656299	40656890
199	"ENSDARG00000019588"	"chico"	chr2	-	52454953	52455525	52455412	52455525	52425360	52425458
201	"ENSDARG00000068208"	"def8"	chr18	+	31410932	31411060	31410932	31411055	31431284	31431398
206	"ENSDARG00000078535"	"lrrcc1"	chr2	-	31710607	31711547	31711262	31711547	31710309	31710515
225	"ENSDARG00000003313"	"eps8l1b"	chr24	+	38670819	38671106	38670819	38670881	38673805	38673912
228	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16814699	16814799	16814699	16814790	16817271	16817382
229	"ENSDARG00000006200"	"eif4g1a"	chr2	+	16814699	16814799	16814699	16814790	16818889	16819041
231	"ENSDARG00000039850"	"dusp22b"	chr2	-	897283	897371	897288	897371	886859	886934
246	"ENSDARG00000053101"	"prpf38b"	chr2	-	45660002	45660077	45660016	45660077	45659374	45659439
248	"ENSDARG00000040310"	"prpf4bb"	chr24	-	11483522	11483674	11483526	11483674	11478430	11478564
249	"ENSDARG00000040310"	"prpf4bb"	chr24	-	11483522	11483674	11483526	11483674	11478430	11478568
254	"ENSDARG00000019213"	NA	chr14	+	21145749	21146159	21145749	21145840	21167570	21167725
