ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	4247	4261	4862	4876	2400	2465	5093	5187
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16601	11206	11402	16717	16760
2	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496
3	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910
4	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	42185	42359	205549	205723	28320	28494	207096	207143
5	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672
6	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167994	168048	167538	167595	168131	168418
7	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471419	37471496	37471649	37471911	37470378	37470822	37473277	37473474
8	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609
9	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874
10	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33258653	33258844	33256011	33256563	33259472	33259779
11	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019
12	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37454627	37454792	37453996	37454178	37455015	37455089
13	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190
14	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37458430	37458527	37457826	37457942	37458600	37458676
15	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276
16	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486
17	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	17044734	17044779	16977705	16977861	17238928	17239043
18	"ENSDARG00000061131"	"kif21a"	chr25	+	35742092	35742135	35743768	35743823	35742016	35742074	35744431	35744634
19	"ENSDARG00000014113"	"wasla"	chr25	+	27763502	27763589	27769580	27769604	27759881	27760016	27788062	27788243
20	"ENSDARG00000073769"	"magi2b"	chr25	-	20788239	20788280	20800266	20800298	20785203	20785381	20811972	20812138
21	"ENSDARG00000100206"	"klhdc4"	chr25	-	12721495	12721574	12723845	12724008	12719782	12719991	12725189	12725282
22	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35666733	35667177	35668490	35668650	35663932	35664911	35669972	35670178
23	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30173653	30173671	30178939	30179035	30171954	30172002	30182513	30182654
24	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178939	30179035	30182513	30182654	30173115	30173671	30192071	30192167
25	"ENSDARG00000061282"	"glg1a"	chr25	-	37223740	37223842	37224164	37224307	37223493	37223601	37224436	37224560
26	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37194504	37194618	37195661	37195810	37194269	37194400	37202546	37202657
27	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37195661	37195810	37202546	37202657	37194504	37194618	37204899	37205061
28	"ENSDARG00000009299"	"dusp8a"	chr25	-	23015607	23015746	23030310	23030665	22982691	22982858	23052425	23052707
29	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3007561	3007708	3001179	3001388	3008045	3008297
30	"ENSDARG00000103878"	"anpepb"	chr25	+	10825827	10825968	10826834	10826916	10825573	10825741	10827258	10827771
31	"ENSDARG00000018681"	"saal1"	chr25	-	8183651	8183824	8186533	8186704	8180904	8180997	8188464	8188547
32	"ENSDARG00000018061"	"neil1"	chr25	-	26830496	26830616	26831697	26832174	26830063	26830166	26833053	26833100
