ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2469	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16616	11206	11402	16717	16784
2470	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17550	17693	17901	15386	16064	19021	19509
2471	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	2808	2878	3129	3199	2552	2728	4349	4450
2472	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	31484	31526	17590	18648	31620	31641
2473	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29086	31484	31526	17590	18648	31620	31641
2474	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	12718	12826	5108	5348	13226	13340
2475	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	12718	12826	5108	5348	13226	13340
2476	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34476	37733	37792	17942	18116	38371	38545
2477	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	287490	287940	288572	288746	286134	286305	292064	292238
2478	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471427	37471496	37471649	37471911	37470378	37470822	37473277	37473474
2479	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462199	37460725	37461492	37462533	37462609
2480	"ENSDARG00000062632"	"duox"	chr25	+	31976402	31976463	31977201	31977262	31975623	31975790	31981355	31981452
2481	"ENSDARG00000101185"	"CABZ01095001.1"	chr25	+	37480882	37481094	37481615	37481833	37480284	37480393	37481959	37482041
2482	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29322903	29323107	29323117	29315923	29319882	29329914	29330191
2483	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29322903	29323107	29323129	29315923	29319882	29329914	29330191
2484	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26547036	26547175	26497940	26498162	26576622	26576752
2485	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26554065	26554096	26497940	26498162	26576622	26576752
2486	"ENSDARG00000103666"	"dapk2b"	chr25	+	26547036	26547175	26554065	26554096	26497940	26498162	26576622	26576752
2487	"ENSDARG00000105296"	NA	chr25	-	5714340	5714379	5716478	5716538	5713687	5713802	5718943	5719062
2488	"ENSDARG00000095836"	"CR354611.1"	chr25	-	21185583	21185675	21189838	21189893	21174390	21174584	21194345	21194825
2489	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19279756	19279798	19307628	19307699	19275187	19275313	19308675	19308797
2490	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340275	19318808	19318905	19341375	19341486
2491	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19325293	19325356	19336272	19336295	19322560	19322668	19340138	19340276
2492	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16992378	16992542	16982322	16982482	17044734	17044779
2493	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16992378	16992723	16982322	16982482	17044734	17044779
2494	"ENSDARG00000100206"	"klhdc4"	chr25	-	12721495	12721574	12723845	12724293	12719782	12719991	12725189	12725282
2495	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35666713	35667177	35668490	35668650	35663932	35664911	35669972	35670178
2496	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608597	27608684	27605186	27605951	27609809	27610005
