Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000005916	0	0.0	8	8291492	8339372	1	protein_coding	srpk3	SRSF protein kinase 3 [Source:ZFIN;Acc:ZDB-GENE-101025-2]
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000014329	2.71721534162e-11	1.85081987736e-07	10	22034477	22045119	1	protein_coding	npm1a	nucleophosmin 1a [Source:ZFIN;Acc:ZDB-GENE-021028-1]
ENSDARG00000086416	3.21072057829e-11	1.85081987736e-07	10	22912251	22916096	1	protein_coding	med11	mediator complex subunit 11 [Source:NCBI gene;Acc:100148504]
ENSDARG00000077339	8.24488255446e-11	3.80221003881e-07	10	28306749	28309317	1	protein_coding	ptrh2	peptidyl-tRNA hydrolase 2 [Source:ZFIN;Acc:ZDB-GENE-050522-163]
ENSDARG00000033832	2.17165507799e-10	8.34567046472e-07	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000087393	4.71717442885e-10	1.55383725686e-06	10	35250205	35257561	-1	protein_coding	prr11	proline rich 11 [Source:ZFIN;Acc:ZDB-GENE-091118-97]
ENSDARG00000013526	1.28545174505e-09	3.70499329217e-06	7	24251367	24357169	1	protein_coding	svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-110726-1]
ENSDARG00000067990	2.96701352376e-09	7.60148864787e-06	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000000837	4.17313394951e-09	9.62241226078e-06	17	33158294	33201840	1	protein_coding	snx9a	sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]
ENSDARG00000058287	6.15319972752e-09	1.28982253925e-05	1	34685405	34694365	1	protein_coding	gpalpp1	GPALPP motifs containing 1 [Source:ZFIN;Acc:ZDB-GENE-040801-212]
ENSDARG00000088202	1.94809350873e-08	3.74326167702e-05	1	24376698	24462691	-1	protein_coding	sh3d19	SH3 domain containing 19 [Source:ZFIN;Acc:ZDB-GENE-050522-481]
ENSDARG00000043182	4.34297370289e-08	7.70309904933e-05	10	35417099	35437624	1	protein_coding	hhla2a.1	HERV-H LTR-associating 2a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050327-45]
ENSDARG00000002084	6.60071867165e-08	0.000108713836522	23	20180159	20258490	-1	protein_coding	lamb2	laminin, beta 2 (laminin S) [Source:ZFIN;Acc:ZDB-GENE-081030-4]
ENSDARG00000075225	1.03118679706e-07	0.000158514034444	13	31070181	31090040	1	protein_coding	si:ch211-223a10.1	si:ch211-223a10.1 [Source:ZFIN;Acc:ZDB-GENE-090313-86]
ENSDARG00000097737	1.29133626792e-07	0.00018303510488	3	55482160	55483481	1	lincRNA	si:dkey-188h10.3	si:dkey-188h10.3 [Source:ZFIN;Acc:ZDB-LINCRNAG-030131-376]
ENSDARG00000059028	1.34946516739e-07	0.00018303510488	8	4434422	4444573	1	protein_coding	srrd	SRR1 domain containing [Source:ZFIN;Acc:ZDB-GENE-060825-269]
ENSDARG00000103682	1.59161291924e-07	0.000203885614955	7	25042078	25046752	1	processed_transcript	si:dkey-23i12.5	si:dkey-23i12.5 [Source:NCBI gene;Acc:325112]
ENSDARG00000103682	2.41446408644e-07	0.000293014278448	7	25042078	25046752	1	processed_transcript	si:dkey-23i12.5	si:dkey-23i12.5 [Source:NCBI gene;Acc:325112]
ENSDARG00000103682	2.71702418231e-07	0.000313245717979	7	25042078	25046752	1	processed_transcript	si:dkey-23i12.5	si:dkey-23i12.5 [Source:NCBI gene;Acc:325112]
ENSDARG00000042091	3.79548305229e-07	0.000416744039141	22	20159067	20166664	-1	protein_coding	btbd2a	BTB (POZ) domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-030829-3]
ENSDARG00000042091	4.09218320341e-07	0.000428898001383	22	20159067	20166664	-1	protein_coding	btbd2a	BTB (POZ) domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-030829-3]
ENSDARG00000101849	5.11172742024e-07	0.00051246178633	4	8670662	8711031	1	protein_coding	adipor2	adiponectin receptor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-60]
ENSDARG00000026842	7.21076286014e-07	0.000692774041788	7	24069421	24097070	1	protein_coding	acin1b	apoptotic chromatin condensation inducer 1b [Source:ZFIN;Acc:ZDB-GENE-030826-12]
ENSDARG00000057556	1.27797449256e-06	0.00117870143398	21	18997503	19067517	1	protein_coding	rpl17	ribosomal protein L17 [Source:ZFIN;Acc:ZDB-GENE-030131-8585]
