gene	Counts
ENSDARG00000000606	65
ENSDARG00000001870	6648
ENSDARG00000002190	1081
ENSDARG00000002285	356
ENSDARG00000002377	134
ENSDARG00000002406	17
ENSDARG00000002791	9040
ENSDARG00000002937	514
ENSDARG00000003054	54
ENSDARG00000003398	370
ENSDARG00000003631	534
ENSDARG00000003866	2164
ENSDARG00000004246	1003
ENSDARG00000004427	363
ENSDARG00000004633	25
ENSDARG00000004634	260
ENSDARG00000005210	291
ENSDARG00000005479	1844
ENSDARG00000005544	51
ENSDARG00000005578	225
ENSDARG00000006392	175
ENSDARG00000006427	11934
ENSDARG00000006621	552
ENSDARG00000007289	26
ENSDARG00000007387	224
ENSDARG00000007534	1
ENSDARG00000007734	48
ENSDARG00000007739	2945
ENSDARG00000008131	422
ENSDARG00000008279	7
ENSDARG00000008457	412
ENSDARG00000008706	3058
ENSDARG00000008723	320
ENSDARG00000008886	244
ENSDARG00000008969	2967
ENSDARG00000009026	478
ENSDARG00000009472	254
ENSDARG00000010078	467
ENSDARG00000010376	1
ENSDARG00000010442	536
ENSDARG00000010791	665
ENSDARG00000011299	887
ENSDARG00000011876	322
ENSDARG00000012297	110
ENSDARG00000012458	2289
ENSDARG00000012672	452
ENSDARG00000012763	268
ENSDARG00000012896	699
ENSDARG00000012903	531
ENSDARG00000013023	54
ENSDARG00000013505	750
ENSDARG00000013741	485
ENSDARG00000013787	294
ENSDARG00000013881	385
ENSDARG00000014098	152
ENSDARG00000014790	1056
ENSDARG00000015076	146
ENSDARG00000015266	1762
ENSDARG00000015312	244
ENSDARG00000015559	262
ENSDARG00000015803	47
ENSDARG00000015946	182
ENSDARG00000016065	45
ENSDARG00000016263	697
ENSDARG00000016304	282
ENSDARG00000016470	1348
ENSDARG00000016548	2047
ENSDARG00000016706	1185
ENSDARG00000016793	26203
ENSDARG00000016994	243
ENSDARG00000017119	414
ENSDARG00000017255	236
ENSDARG00000017441	71054
ENSDARG00000017537	56
ENSDARG00000017591	2485
ENSDARG00000017744	663
ENSDARG00000017772	9373
ENSDARG00000017905	1409
ENSDARG00000017984	6
ENSDARG00000017985	388
ENSDARG00000018117	7
ENSDARG00000018190	1181
ENSDARG00000018263	2454
ENSDARG00000018325	301
ENSDARG00000018460	1206
ENSDARG00000018587	5
ENSDARG00000018721	275
ENSDARG00000019581	872
ENSDARG00000019715	96
ENSDARG00000020857	176
ENSDARG00000022690	359
ENSDARG00000022845	221
ENSDARG00000022971	312
ENSDARG00000023151	2200
ENSDARG00000024785	973
ENSDARG00000024827	18
ENSDARG00000025233	90
ENSDARG00000025325	256
ENSDARG00000025350	7141
ENSDARG00000025754	478
ENSDARG00000025904	1555
ENSDARG00000026068	582
ENSDARG00000026387	51
ENSDARG00000026771	259
ENSDARG00000026902	162
ENSDARG00000027078	998
ENSDARG00000027355	13618
ENSDARG00000027497	35
ENSDARG00000027572	362
ENSDARG00000027826	92
ENSDARG00000028276	29
ENSDARG00000028982	749
ENSDARG00000029133	390
ENSDARG00000029718	46
ENSDARG00000029751	187
ENSDARG00000030368	794
ENSDARG00000030563	150
ENSDARG00000030703	92
ENSDARG00000030972	228
ENSDARG00000031164	3704
ENSDARG00000031435	3769
ENSDARG00000031632	333
ENSDARG00000031836	536
ENSDARG00000031894	616
ENSDARG00000031952	1587
ENSDARG00000032056	310
ENSDARG00000032808	6
ENSDARG00000033273	139
ENSDARG00000033604	816
ENSDARG00000033666	432
ENSDARG00000034093	292
ENSDARG00000034105	630
ENSDARG00000034785	149
ENSDARG00000034862	347
ENSDARG00000034910	0
ENSDARG00000035692	27330
ENSDARG00000036008	493
ENSDARG00000036295	1146
ENSDARG00000036371	3831
ENSDARG00000036415	255
ENSDARG00000036471	2
ENSDARG00000036479	6
ENSDARG00000036494	127
ENSDARG00000036545	3
ENSDARG00000036587	218
ENSDARG00000036637	47
ENSDARG00000036658	1696
ENSDARG00000036687	1316
ENSDARG00000036967	1943
ENSDARG00000036995	462
ENSDARG00000037002	1
ENSDARG00000037018	475
ENSDARG00000037099	547
ENSDARG00000037100	151
ENSDARG00000037144	208
ENSDARG00000037177	821
ENSDARG00000037178	170
ENSDARG00000037259	940
ENSDARG00000037260	144
ENSDARG00000037261	319
ENSDARG00000037278	164
ENSDARG00000037283	457
ENSDARG00000037383	14
ENSDARG00000037410	151
ENSDARG00000037484	172
ENSDARG00000037487	89
ENSDARG00000037576	3
ENSDARG00000037619	2
ENSDARG00000037646	100
ENSDARG00000037654	226
ENSDARG00000037679	324
ENSDARG00000037713	725
ENSDARG00000037747	523
ENSDARG00000037758	0
ENSDARG00000037760	274
ENSDARG00000037777	134
ENSDARG00000038114	60
ENSDARG00000038352	0
ENSDARG00000039063	45
ENSDARG00000039131	853
ENSDARG00000039613	190
ENSDARG00000039615	40
ENSDARG00000040048	365
ENSDARG00000040245	2704
ENSDARG00000040246	16
ENSDARG00000040250	0
ENSDARG00000040252	303
ENSDARG00000041399	0
ENSDARG00000041570	602
ENSDARG00000042688	32
ENSDARG00000042887	323
ENSDARG00000042988	1690
ENSDARG00000043226	13
ENSDARG00000043247	198
ENSDARG00000043271	3
ENSDARG00000043431	62
ENSDARG00000043445	0
ENSDARG00000043548	394
ENSDARG00000043587	498
ENSDARG00000045618	4140
ENSDARG00000045620	633
ENSDARG00000051965	91
ENSDARG00000051981	147
ENSDARG00000051986	2451
ENSDARG00000051989	119
ENSDARG00000051993	0
ENSDARG00000052012	126
ENSDARG00000052016	347
ENSDARG00000052037	45
ENSDARG00000052207	1354
ENSDARG00000052348	1598
ENSDARG00000052386	206
ENSDARG00000052438	1262
ENSDARG00000052480	966
ENSDARG00000052512	30
ENSDARG00000052677	0
ENSDARG00000052703	137
ENSDARG00000052766	9
ENSDARG00000052895	17
ENSDARG00000052899	1
ENSDARG00000053106	42
ENSDARG00000053241	65
ENSDARG00000053248	353
ENSDARG00000053269	201
ENSDARG00000053500	245
ENSDARG00000053502	771
ENSDARG00000053542	360
ENSDARG00000053580	2
ENSDARG00000054031	199
ENSDARG00000054334	153
ENSDARG00000054655	0
ENSDARG00000054680	35
ENSDARG00000056151	5815
ENSDARG00000056163	20
ENSDARG00000056376	23
ENSDARG00000056400	85
ENSDARG00000056742	433
ENSDARG00000056797	301
ENSDARG00000057114	356
ENSDARG00000057303	1084
ENSDARG00000058287	355
ENSDARG00000058460	5
ENSDARG00000058464	23
ENSDARG00000058471	520
ENSDARG00000058480	122
ENSDARG00000058803	459
ENSDARG00000058962	86
ENSDARG00000058996	195
ENSDARG00000059060	148
ENSDARG00000059653	859
ENSDARG00000059835	428
ENSDARG00000059900	144
ENSDARG00000060036	1312
ENSDARG00000060148	113
ENSDARG00000060184	516
ENSDARG00000060252	609
ENSDARG00000060264	15
ENSDARG00000060383	284
ENSDARG00000060397	860
ENSDARG00000060477	385
ENSDARG00000060620	133
ENSDARG00000060716	186
ENSDARG00000061021	176
ENSDARG00000061451	218
ENSDARG00000061504	293
ENSDARG00000061629	308
ENSDARG00000061732	603
ENSDARG00000061830	345
ENSDARG00000061936	51
ENSDARG00000062055	394
ENSDARG00000062132	1024
ENSDARG00000062198	863
ENSDARG00000062309	1
ENSDARG00000062467	85
ENSDARG00000062606	75
ENSDARG00000063003	416
ENSDARG00000063108	0
ENSDARG00000063207	27
ENSDARG00000063253	100
ENSDARG00000063270	188
ENSDARG00000063297	136
