gene	Counts
ENSDARG00000000606	32
ENSDARG00000001870	4208
ENSDARG00000002190	627
ENSDARG00000002285	204
ENSDARG00000002377	72
ENSDARG00000002406	13
ENSDARG00000002791	5884
ENSDARG00000002937	283
ENSDARG00000003054	13
ENSDARG00000003398	213
ENSDARG00000003631	457
ENSDARG00000003866	1081
ENSDARG00000004246	564
ENSDARG00000004427	121
ENSDARG00000004633	26
ENSDARG00000004634	155
ENSDARG00000005210	159
ENSDARG00000005479	1214
ENSDARG00000005544	53
ENSDARG00000005578	522
ENSDARG00000006392	91
ENSDARG00000006427	4807
ENSDARG00000006621	240
ENSDARG00000007289	11
ENSDARG00000007387	136
ENSDARG00000007534	6
ENSDARG00000007734	46
ENSDARG00000007739	1161
ENSDARG00000008131	162
ENSDARG00000008279	20
ENSDARG00000008457	165
ENSDARG00000008706	1371
ENSDARG00000008723	292
ENSDARG00000008886	97
ENSDARG00000008969	1808
ENSDARG00000009026	453
ENSDARG00000009472	133
ENSDARG00000010078	246
ENSDARG00000010376	1
ENSDARG00000010442	255
ENSDARG00000010791	290
ENSDARG00000011299	407
ENSDARG00000011876	156
ENSDARG00000012297	75
ENSDARG00000012458	1080
ENSDARG00000012672	211
ENSDARG00000012763	134
ENSDARG00000012896	377
ENSDARG00000012903	640
ENSDARG00000013023	15
ENSDARG00000013505	340
ENSDARG00000013741	219
ENSDARG00000013787	166
ENSDARG00000013881	213
ENSDARG00000014098	131
ENSDARG00000014790	502
ENSDARG00000015076	75
ENSDARG00000015266	775
ENSDARG00000015312	144
ENSDARG00000015559	96
ENSDARG00000015803	18
ENSDARG00000015946	87
ENSDARG00000016065	18
ENSDARG00000016263	440
ENSDARG00000016304	94
ENSDARG00000016470	619
ENSDARG00000016548	844
ENSDARG00000016706	413
ENSDARG00000016793	11901
ENSDARG00000016994	141
ENSDARG00000017119	252
ENSDARG00000017255	117
ENSDARG00000017441	36646
ENSDARG00000017537	25
ENSDARG00000017591	1806
ENSDARG00000017744	307
ENSDARG00000017772	4316
ENSDARG00000017905	602
ENSDARG00000017984	0
ENSDARG00000017985	224
ENSDARG00000018117	3
ENSDARG00000018190	602
ENSDARG00000018263	1754
ENSDARG00000018325	172
ENSDARG00000018460	715
ENSDARG00000018587	0
ENSDARG00000018721	229
ENSDARG00000019581	461
ENSDARG00000019715	39
ENSDARG00000020857	110
ENSDARG00000022690	207
ENSDARG00000022845	86
ENSDARG00000022971	184
ENSDARG00000023151	2919
ENSDARG00000024785	464
ENSDARG00000024827	21
ENSDARG00000025233	22
ENSDARG00000025325	105
ENSDARG00000025350	3147
ENSDARG00000025754	189
ENSDARG00000025904	784
ENSDARG00000026068	253
ENSDARG00000026387	35
ENSDARG00000026771	155
ENSDARG00000026902	90
ENSDARG00000027078	563
ENSDARG00000027355	6431
ENSDARG00000027497	43
ENSDARG00000027572	158
ENSDARG00000027826	44
ENSDARG00000028276	18
ENSDARG00000028982	450
ENSDARG00000029133	229
ENSDARG00000029718	16
ENSDARG00000029751	164
ENSDARG00000030368	379
ENSDARG00000030563	97
ENSDARG00000030703	27
ENSDARG00000030972	125
ENSDARG00000031164	1649
ENSDARG00000031435	1473
ENSDARG00000031632	129
ENSDARG00000031836	359
ENSDARG00000031894	281
ENSDARG00000031952	601
ENSDARG00000032056	167
ENSDARG00000032808	4
ENSDARG00000033273	37
ENSDARG00000033604	416
ENSDARG00000033666	260
ENSDARG00000034093	134
ENSDARG00000034105	388
ENSDARG00000034785	77
ENSDARG00000034862	217
ENSDARG00000034910	0
ENSDARG00000035692	12231
ENSDARG00000036008	222
ENSDARG00000036295	530
ENSDARG00000036371	1503
ENSDARG00000036415	120
ENSDARG00000036471	0
ENSDARG00000036479	5
ENSDARG00000036494	45
ENSDARG00000036545	7
ENSDARG00000036587	163
ENSDARG00000036637	18
ENSDARG00000036658	735
ENSDARG00000036687	762
ENSDARG00000036967	1021
ENSDARG00000036995	141
ENSDARG00000037002	4
ENSDARG00000037018	306
ENSDARG00000037099	474
ENSDARG00000037100	67
ENSDARG00000037144	123
ENSDARG00000037177	483
ENSDARG00000037178	94
