gene	Counts
ENSDARG00000000606	37
ENSDARG00000001870	4782
ENSDARG00000002190	676
ENSDARG00000002285	247
ENSDARG00000002377	102
ENSDARG00000002406	17
ENSDARG00000002791	6113
ENSDARG00000002937	334
ENSDARG00000003054	24
ENSDARG00000003398	213
ENSDARG00000003631	413
ENSDARG00000003866	1327
ENSDARG00000004246	629
ENSDARG00000004427	164
ENSDARG00000004633	32
ENSDARG00000004634	165
ENSDARG00000005210	143
ENSDARG00000005479	1270
ENSDARG00000005544	36
ENSDARG00000005578	424
ENSDARG00000006392	95
ENSDARG00000006427	4482
ENSDARG00000006621	283
ENSDARG00000007289	9
ENSDARG00000007387	138
ENSDARG00000007534	5
ENSDARG00000007734	26
ENSDARG00000007739	1343
ENSDARG00000008131	177
ENSDARG00000008279	12
ENSDARG00000008457	213
ENSDARG00000008706	1434
ENSDARG00000008723	287
ENSDARG00000008886	91
ENSDARG00000008969	1717
ENSDARG00000009026	456
ENSDARG00000009472	120
ENSDARG00000010078	276
ENSDARG00000010376	4
ENSDARG00000010442	287
ENSDARG00000010791	311
ENSDARG00000011299	477
ENSDARG00000011876	178
ENSDARG00000012297	77
ENSDARG00000012458	1391
ENSDARG00000012672	214
ENSDARG00000012763	143
ENSDARG00000012896	466
ENSDARG00000012903	800
ENSDARG00000013023	28
ENSDARG00000013505	413
ENSDARG00000013741	248
ENSDARG00000013787	154
ENSDARG00000013881	198
ENSDARG00000014098	112
ENSDARG00000014790	562
ENSDARG00000015076	69
ENSDARG00000015266	855
ENSDARG00000015312	200
ENSDARG00000015559	91
ENSDARG00000015803	38
ENSDARG00000015946	89
ENSDARG00000016065	17
ENSDARG00000016263	490
ENSDARG00000016304	137
ENSDARG00000016470	670
ENSDARG00000016548	1032
ENSDARG00000016706	778
ENSDARG00000016793	15214
ENSDARG00000016994	138
ENSDARG00000017119	220
ENSDARG00000017255	114
ENSDARG00000017441	47690
ENSDARG00000017537	32
ENSDARG00000017591	1979
ENSDARG00000017744	397
ENSDARG00000017772	4993
ENSDARG00000017905	658
ENSDARG00000017984	3
ENSDARG00000017985	241
ENSDARG00000018117	4
ENSDARG00000018190	652
ENSDARG00000018263	685
ENSDARG00000018325	224
ENSDARG00000018460	728
ENSDARG00000018587	6
ENSDARG00000018721	214
ENSDARG00000019581	546
ENSDARG00000019715	46
ENSDARG00000020857	86
ENSDARG00000022690	189
ENSDARG00000022845	100
ENSDARG00000022971	187
ENSDARG00000023151	2273
ENSDARG00000024785	466
ENSDARG00000024827	19
ENSDARG00000025233	31
ENSDARG00000025325	162
ENSDARG00000025350	3936
ENSDARG00000025754	260
ENSDARG00000025904	766
