Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000032951	6.63314958516e-11	2.43171263792e-06	2	32676002	32738535	-1	protein_coding	nrbp2a	nuclear receptor binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-070713-4]
ENSDARG00000003027	5.5029913959e-10	1.00869832287e-05	16	29685557	29690212	-1	protein_coding	scnm1	sodium channel modifier 1 [Source:NCBI gene;Acc:321696]
ENSDARG00000060081	1.368957947e-09	1.67286661123e-05	8	2878756	2906214	1	protein_coding	crb2b	crumbs cell polarity complex component 2b [Source:ZFIN;Acc:ZDB-GENE-060610-1]
ENSDARG00000024492	2.60799215557e-09	2.39022481058e-05	19	38422059	38467554	1	protein_coding	col9a2	procollagen, type IX, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9786]
ENSDARG00000100889	2.90723538576e-08	0.000213158498484	25	17689565	17825514	1	protein_coding	galnt18a	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 18a [Source:ZFIN;Acc:ZDB-GENE-080723-30]
ENSDARG00000097537	1.34181958877e-07	0.000767310961881	24	42127983	42141008	1	protein_coding	wwp1	WW domain containing E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-131120-84]
ENSDARG00000010250	1.46513276955e-07	0.000767310961881	7	56703254	56722320	1	protein_coding	nqo1	NAD(P)H dehydrogenase, quinone 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1226]
ENSDARG00000045522	2.35613491495e-07	0.00107969882478	4	25627147	25647986	1	protein_coding	acot15	acyl-CoA thioesterase 15 [Source:ZFIN;Acc:ZDB-GENE-041210-203]
ENSDARG00000103639	3.914679092e-07	0.00159457928347	15	12251044	12270857	-1	protein_coding	si:dkey-36i7.3	si:dkey-36i7.3 [Source:ZFIN;Acc:ZDB-GENE-131127-316]
ENSDARG00000101744	4.47940246784e-07	0.00164214894471	11	14955484	15001712	-1	protein_coding	elavl1b	ELAV like RNA binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-000210-17]
ENSDARG00000036830	5.80096897296e-07	0.00193330475044	19	5378563	5380770	-1	protein_coding	krt91	keratin 91 [Source:ZFIN;Acc:ZDB-GENE-040801-181]
ENSDARG00000090444	8.14219169309e-07	0.00248743956224	7	20344032	20369869	1	protein_coding	ponzr1	plac8 onzin related protein 1 [Source:ZFIN;Acc:ZDB-GENE-070727-1]
ENSDARG00000069733	9.73442701668e-07	0.0027451084187	13	15182149	15213869	1	protein_coding	mavs	mitochondrial antiviral signaling protein [Source:ZFIN;Acc:ZDB-GENE-070112-1402]
ENSDARG00000053362	1.05857625232e-06	0.00277195752929	7	31432140	31441420	-1	protein_coding	cilp	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:ZFIN;Acc:ZDB-GENE-050208-76]
ENSDARG00000032951	1.3148552358e-06	0.0032135061963	2	32676002	32738535	-1	protein_coding	nrbp2a	nuclear receptor binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-070713-4]
ENSDARG00000030602	1.45024449283e-06	0.0033228726942	16	24188114	24195361	-1	protein_coding	rps19	ribosomal protein S19 [Source:ZFIN;Acc:ZDB-GENE-040426-1716]
ENSDARG00000007449	1.8068517541e-06	0.00389642266502	3	29872819	29891500	-1	protein_coding	slc25a39	solute carrier family 25 member 39 [Source:NCBI gene;Acc:393458]
ENSDARG00000036784	1.94030053213e-06	0.0039517454171	23	17102960	17114092	1	protein_coding	commd7	COMM domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-040801-96]
ENSDARG00000061120	3.200269169e-06	0.00617483514398	10	24371921	24391716	-1	protein_coding	slc43a2b	solute carrier family 43 member 2b [Source:ZFIN;Acc:ZDB-GENE-041212-6]
ENSDARG00000011845	3.5647163712e-06	0.00653412510841	16	20318400	20492799	-1	protein_coding	chn2	chimerin 2 [Source:ZFIN;Acc:ZDB-GENE-091020-5]
ENSDARG00000062089	3.9254695543e-06	0.00685274827908	9	29430432	29482414	1	protein_coding	uggt2	UDP-glucose glycoprotein glucosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050517-21]
ENSDARG00000053446	4.37730789993e-06	0.00729418670961	10	8091144	8098099	1	protein_coding	sub1a	SUB1 regulator of transcription a [Source:ZFIN;Acc:ZDB-GENE-050522-151]
ENSDARG00000078241	5.80772260428e-06	0.00897515124887	17	16051448	16069905	-1	protein_coding	map7a	microtubule-associated protein 7a [Source:ZFIN;Acc:ZDB-GENE-131121-151]
ENSDARG00000069356	5.87571276522e-06	0.00897515124887	11	7432533	7737642	1	protein_coding	adgrl2a	adhesion G protein-coupled receptor L2a [Source:ZFIN;Acc:ZDB-GENE-000607-49]
ENSDARG00000105052	7.30901303525e-06	0.0100888029152	22	23598093	23612854	-1	protein_coding	cfhl5	complement factor H like 5 [Source:ZFIN;Acc:ZDB-GENE-050208-782]
ENSDARG00000043313	7.44402350961e-06	0.0100888029152	7	57886148	58130703	-1	protein_coding	ank2b	ankyrin 2b, neuronal [Source:ZFIN;Acc:ZDB-GENE-041010-165]
ENSDARG00000075928	7.44955747123e-06	0.0100888029152	19	15306968	15397946	-1	protein_coding	hivep3a	HIVEP zinc finger 3a [Source:ZFIN;Acc:ZDB-GENE-081029-2]
ENSDARG00000045019	7.92967400642e-06	0.0100888029152	6	59913147	59922078	1	protein_coding	aamp	angio-associated, migratory cell protein [Source:ZFIN;Acc:ZDB-GENE-040426-2370]
ENSDARG00000073802	7.98077699238e-06	0.0100888029152	11	33312601	33558093	1	protein_coding	cntnap5l	contactin associated protein-like 5 like [Source:ZFIN;Acc:ZDB-GENE-140106-102]
ENSDARG00000071215	9.58665196371e-06	0.0117148886997	6	7977611	8074849	1	protein_coding	palm3	paralemmin 3 [Source:ZFIN;Acc:ZDB-GENE-061215-74]
ENSDARG00000045019	1.10929314879e-05	0.0131182860757	6	59913147	59922078	1	protein_coding	aamp	angio-associated, migratory cell protein [Source:ZFIN;Acc:ZDB-GENE-040426-2370]
ENSDARG00000057058	1.52387903037e-05	0.017418412458	17	23710659	23727978	-1	protein_coding	minpp1a	multiple inositol-polyphosphate phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-060929-1194]
ENSDARG00000007743	1.56794220162e-05	0.017418412458	15	20352123	20363786	1	protein_coding	il15l	interleukin 15, like [Source:ZFIN;Acc:ZDB-GENE-041111-173]
ENSDARG00000023111	1.71569790297e-05	0.0184992603303	20	42688488	42702884	-1	protein_coding	plg	plasminogen [Source:ZFIN;Acc:ZDB-GENE-030131-1411]
ENSDARG00000101234	1.89416850833e-05	0.0198400621473	5	28398449	28491518	1	protein_coding	nsmfb	NMDA receptor synaptonuclear signaling and neuronal migration factor b [Source:NCBI gene;Acc:569891]
ENSDARG00000035678	2.08260570558e-05	0.0212078681018	19	35013129	35017047	1	protein_coding	zgc:91910	zgc:91910 [Source:ZFIN;Acc:ZDB-GENE-040808-48]
ENSDARG00000056740	2.15793437265e-05	0.0213810470544	24	33708804	33756003	-1	protein_coding	tmeff1b	transmembrane protein with EGF-like and two follistatin-like domains 1b [Source:ZFIN;Acc:ZDB-GENE-050706-143]
ENSDARG00000013500	2.46673753258e-05	0.0232854268838	5	25088622	25236340	-1	protein_coding	abca2	ATP-binding cassette, sub-family A (ABC1), member 2 [Source:ZFIN;Acc:ZDB-GENE-050517-1]
ENSDARG00000078185	2.49034146829e-05	0.0232854268838	13	36446187	36525982	-1	protein_coding	pacs2	phosphofurin acidic cluster sorting protein 2 [Source:ZFIN;Acc:ZDB-GENE-081218-1]
