Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000069827	3.42905703832e-11	2.25151885136e-07	9	22098575	22099536	-1	protein_coding	crygm2d11	crystallin, gamma M2d11 [Source:ZFIN;Acc:ZDB-GENE-071004-42]
ENSDARG00000069765	1.48143695089e-08	4.86355750977e-05	16	45456066	45691220	1	protein_coding	syngap1b	synaptic Ras GTPase activating protein 1b [Source:ZFIN;Acc:ZDB-GENE-100921-2]
ENSDARG00000051816	1.03388709705e-07	0.000201394381429	25	28279577	28336106	1	protein_coding	aass	aminoadipate-semialdehyde synthase [Source:ZFIN;Acc:ZDB-GENE-061220-8]
ENSDARG00000006257	1.22689236326e-07	0.000201394381429	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000070057	3.08502630886e-07	0.000405125654879	9	11587629	11595736	1	protein_coding	si:dkey-69o16.5	si:dkey-69o16.5 [Source:ZFIN;Acc:ZDB-GENE-081104-432]
ENSDARG00000053272	5.22807419689e-07	0.000563338061134	6	47869397	47953829	-1	protein_coding	RAP1GAP	si:dkey-166d12.2 [Source:ZFIN;Acc:ZDB-GENE-131119-39]
ENSDARG00000006257	6.00573625942e-07	0.000563338061134	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000069356	7.63220666888e-07	0.000626413362348	11	7432533	7737642	1	protein_coding	adgrl2a	adhesion G protein-coupled receptor L2a [Source:ZFIN;Acc:ZDB-GENE-000607-49]
ENSDARG00000079295	4.68286038324e-06	0.00341640680848	21	14381227	14630840	-1	protein_coding	cacna1bb	calcium channel, voltage-dependent, N type, alpha 1B subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-4]
ENSDARG00000057353	8.10372530924e-06	0.00532090603805	7	17992455	18074041	1	protein_coding	ehbp1l1a	EH domain binding protein 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-080917-27]
ENSDARG00000053535	1.05699280226e-05	0.00630928612694	1	34365845	34450784	-1	protein_coding	lmo7b	LIM domain 7b [Source:ZFIN;Acc:ZDB-GENE-060825-242]
ENSDARG00000062790	1.91296848387e-05	0.0104671258876	13	28819768	28902920	1	protein_coding	CU639469.1	transforming, acidic coiled-coil containing protein 2 [Source:NCBI gene;Acc:569976]
ENSDARG00000006257	2.86501168497e-05	0.0144705128642	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000079456	4.27944798068e-05	0.0200706110294	19	1879611	1929310	-1	protein_coding	si:ch211-149a19.3	si:ch211-149a19.3 [Source:ZFIN;Acc:ZDB-GENE-081104-128]
ENSDARG00000045947	7.63112629965e-05	0.0334039835223	12	4377624	4388704	-1	protein_coding	hrc	histidine rich calcium binding protein [Source:ZFIN;Acc:ZDB-GENE-041008-189]
ENSDARG00000057013	8.95825420504e-05	0.0367624356939	2	44049081	44183613	-1	protein_coding	cadm3	cell adhesion molecule 3 [Source:ZFIN;Acc:ZDB-GENE-060512-196]
